时间戳记,1. Gender,2. University location,3. University full name,4. Year of study at university,5. Are you in the first or last year of your program?,6. Major,7. Origin,8. Sheltering place during covid-19,"9. How strictly have you been observing the directives of ""quarantine"", ""confinement"", ""shelter-in-place"" and/or ""social distancing""  in your country? ","10. Have you experienced any recent dramatic or significant change in your life (loss or departure of a close friend or relative, you or a relative getting gravely sick, being in close contact with a Covid-infected person, financial difficulties, etc.)?","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Day time availability to follow classes]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Efficiency of learning or working]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Time devoted to studying or working]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Accessibility to internet]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Grades or marks]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Availability of essential study resources (computer, lab, etc.)]","12. Select the four best means of sustaining or improving ACADEMIC PERFORMANCE that you find effective during ""quarantine"":","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Living conditions (including lodging and sharing housing)]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Remote interactions with friends or family]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Family atmosphere]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Relationship with friends]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Meeting new people]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Professional interactions (students/teachers/collaborators)]","14. Select the four best means of sustaining or improving SOCIAL INTERACTIONS that you find effective during ""quanrantine"":","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your quality and availability of medical services]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your level of fatigue, pain, or headache]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your sleep condition]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your quality/quantity of physically exercise]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your use of alcohol / tobacco / drugs]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your quality/quantity of food, your digestion, appetite, and/or weight ]","16. Select the four best means of sustaining or improving PHYSICAL HEALTH and FITNESS that you find effective during ""quarantine"":","17. How have your feelings of  [...option...] changed during the ""qurantine"" period as compared to ""normal time""? Better means more happiness and satisfaction. [Anxiety]","17. How have your feelings of  [...option...] changed during the ""qurantine"" period as compared to ""normal time""? Better means more happiness and satisfaction. [Sadness]","17. How have your feelings of  [...option...] changed during the ""qurantine"" period as compared to ""normal time""? Better means more happiness and satisfaction. [Loneliness ]","17bis. How have your feelings of  [...option...] changed during ""quarantine"" as compared to ""normal time""? Better means more happiness and satisfaction. [Self-confidence]","17bis. How have your feelings of  [...option...] changed during ""quarantine"" as compared to ""normal time""? Better means more happiness and satisfaction. [Serenity]","17bis. How have your feelings of  [...option...] changed during ""quarantine"" as compared to ""normal time""? Better means more happiness and satisfaction. [Motivation]","18. Select the four best means of sustaining or improving HAPPINESS and SATISFACTION that you find effective during ""quarantine"":","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Academic Performances]","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Physical Health and Fitness]","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Happiness and Satisfaction]","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Social Interactions]","20. How do you rate overall the experience of ""quarantine"" and ""social distancing""?","21. Do you believe that a ""quarantine"" period is effective to contain the spread of coronavirus?","22. What did you miss most during the ""quarantine"" period?","By submitting your responses, you consent that your data will be used for research purposes"
2020-6-12 下午11:48:41,Male,France,Ecole Centrale de Lyon,4th,"No, I am in the middle of the program",Engineering (other that computer related),Same country as university,Other,4,NO,Better,Much Worse,Neutral,Better,Worse,Neutral,"Doing homework regularly, Doing homework together with other students, Listening to music while working, Taking regularly little breaks/pauses/naps",Neutral,Better,Neutral,Neutral,Neutral,Worse,"Having regular video-conference meetings, Physically exercising together (potentially remotely), Playing music together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Neutral,Better,Worse,NA,Better,"Eating well, Sleeping well, Drinking water regularly, Taking regular breaks/naps",Better,Better,Better,Neutral,Better,Worse,"Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Doing arts and crafts or playing an instrument, Cooking a nice meal",Worse,Neutral,Neutral,Worse,4,5,Cinema and restaurants,I agree.
2020-6-12 下午11:57:33,Male,France,Paris-Saclay,5th,"Yes, I am  in the last year of my program","Computer Science, computer engineering",Same country as university,Primary residence or your family place (if different from your university lodging),5,NO,NA,Better,Better,Neutral,NA,Much Better,"Getting fast and reliable internet connection, Meeting one-on-one with instructors, Alternating studying and doing physical exercise, Listening to music while working",Much Better,Neutral,Better,Neutral,Neutral,Better,"Having regular video-conference meetings, Taking care of pets or plants, Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely)",Better,Better,Neutral,Neutral,Neutral,Better,"Eating well, Physically exercising, Going out in the sun, Taking showers or baths",Neutral,Neutral,Neutral,Neutral,Worse,Neutral,"Learning something new, Physically exercising, Watching videos or television, reading, or listening to music, Cooking a nice meal",Neutral,Neutral,Neutral,Neutral,3,5,hiking,I agree.
2020-6-13 上午12:07:10,Male,Mexico,INAOE,2nd,"No, I am in the middle of the program","Computer Science, computer engineering",Same country as university,University lodging or temporary lodging near the university,4,"YES, but due to other reasons",NA,Neutral,Neutral,Neutral,Neutral,Neutral,"Getting fast and reliable internet connection, Communicating online with other students during classes, Meeting one-on-one with instructors, Alternating studying and doing physical exercise",Neutral,Better,Neutral,Neutral,Neutral,Neutral,"Having regular video-conference meetings, Cooking and/or eating together (potentially remotely), Playing music together (potentially remotely), Playing games with friends or family (potentially remotely)",Worse,Neutral,Neutral,Neutral,Neutral,Worse,"Eating well, Sleeping well, Physically exercising, Going out in the sun",Better,Worse,Worse,Better,Better,Better,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Doing arts and crafts or playing an instrument, Cooking a nice meal",Neutral,Neutral,Neutral,Worse,3,5,Estados alterados de conciencia ,I agree.
2020-6-13 上午12:27:04,Male,France,Paris-Saclay,5th,"Yes, I am  in the last year of my program","Computer Science, computer engineering",Same country as university,Primary residence or your family place (if different from your university lodging),5,NO,NA,Worse,Better,Much Better,NA,Neutral,"Attending class regularly, Doing homework regularly, Using on-line resources (videos, course, blogs) from outside the university, Alternating studying and doing physical exercise",Neutral,Better,Better,Neutral,Worse,Neutral,"Joining on-line clubs, forums, or dating services, Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Neutral,Neutral,Much Worse,Neutral,Better,"Eating well, Sleeping well, Physically exercising, Consuming less alcohol / tobacco / drugs",Worse,Neutral,Neutral,Worse,Neutral,Worse,"Learning something new, Finishing to a lesson or do homework, Physically exercising, Doing arts and crafts or playing an instrument",Worse,Worse,Worse,Neutral,3,5,Going out with friends,I agree.
2020-6-13 上午02:13:42,Female,United States,UC Berkeley,4th,"Yes, I am  in the last year of my program","Experimental sciences (physics, biology, chemistry)",Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Much Better,Better,Much Better,Worse,Neutral,Neutral,"Attending class regularly, Getting fast and reliable internet connection, Listening to music while working, Taking regularly little breaks/pauses/naps",Much Better,Better,Better,Neutral,Worse,Better,"Having regular video-conference meetings, Checking on friends and family regularly, Taking care of pets or plants, Cooking and/or eating together (potentially remotely)",Neutral,Much Better,Much Better,Much Better,Much Better,Better,"Eating well, Sleeping well, Physically exercising, Going out in the sun",Better,Much Better,Neutral,Better,Neutral,Neutral,"Physically exercising, Watching videos or television, reading, or listening to music, Cooking a nice meal, Doing housekeeping",Neutral,Better,Better,Neutral,4,5,"regular interactions with friends during class, meetings, etc.",I agree.
2020-6-13 上午10:53:39,Male,France,Paris-Saclay,3rd,"No, I am in the middle of the program","Computer Science, computer engineering",Other,Primary residence or your family place (if different from your university lodging),2,NO,Much Worse,Much Worse,Much Worse,Better,Much Worse,Neutral,"Attending class regularly, Getting fast and reliable internet connection, Doing homework regularly, Doing homework together with other students",Neutral,Neutral,Neutral,Neutral,Much Worse,Much Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Physically exercising together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Neutral,Much Worse,Neutral,Neutral,Neutral,"Sleeping well, Physically exercising, Going out in the sun, Breathing well",Much Worse,Neutral,Neutral,Neutral,Worse,Much Worse,"Having a body-mind or spiritual practice (yoga, meditation, prayer, etc.), Getting clean and dressing well, Cooking a nice meal, Doing housekeeping",Much Worse,Neutral,Neutral,Neutral,3,5,Seeing my friends,I agree.
2020-6-13 下午07:16:32,Male,France,Paris-Saclay,1st,"No, I am in the middle of the program","Computer Science, computer engineering",Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Neutral,Worse,Worse,Much Worse,Neutral,Neutral,"Doing homework regularly, Using on-line resources (videos, course, blogs) from outside the university, Meeting one-on-one with instructors, Listening to music while working",Neutral,Worse,Neutral,Neutral,Much Worse,Better,"Having regular video-conference meetings, Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Taking care of a child or of someone in need (potentially remotely)",Neutral,Worse,Worse,Much Worse,Better,Much Better,"Eating well, Consuming less alcohol / tobacco / drugs, Going out in the sun, Taking showers or baths",Neutral,Neutral,Neutral,Better,Neutral,Better,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Doing arts and crafts or playing an instrument, Cooking a nice meal",Neutral,Much Worse,Neutral,Much Worse,4,5,The contact with family,I agree.
2020-6-13 下午07:19:10,Male,France,Paris-Saclay,5th,"Yes, this is a single year program",Math and statistics,Same country as university,Primary residence or your family place (if different from your university lodging),5,"YES, due to COVID-19",Neutral,Worse,Neutral,Neutral,Neutral,Neutral,"Getting fast and reliable internet connection, Doing homework regularly, Communicating online with other students during classes, Taking regularly little breaks/pauses/naps",Neutral,Neutral,Worse,Neutral,Much Worse,Neutral,"Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing music together (potentially remotely), Playing games with friends or family (potentially remotely)",Better,Worse,Better,Much Worse,Neutral,Worse,"Eating well, Sleeping well, Physically exercising, Drinking water regularly",Better,Better,Neutral,Neutral,Better,Worse,"Chatting, video-conferencing, or talking with friends or family, Doing arts and crafts or playing an instrument, Getting clean and dressing well, Cooking a nice meal",Neutral,Worse,Better,Worse,4,5,the sun,I agree.
2020-6-13 下午09:20:03,Male,Spain,Universidad de Alicante,2nd,"No, I am in the middle of the program",Engineering (other that computer related),Same country as university,Other,1,NO,Neutral,Much Worse,Much Worse,Much Worse,Much Worse,Neutral,"Communicating online with other students during classes, Meeting one-on-one with instructors, Listening to music while working, Taking regularly little breaks/pauses/naps",Much Better,Neutral,Much Better,Much Worse,Much Better,Much Worse,"Having regular video-conference meetings, Joining on-line clubs, forums, or dating services, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Much Worse,Much Better,Much Worse,Neutral,Neutral,"Eating well, Sleeping well, Breathing well, Taking regular breaks/naps",Much Worse,Neutral,Much Worse,Neutral,Much Better,Much Worse,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Doing housekeeping",Much Worse,Much Worse,Neutral,Much Worse,2,5,The time that I spent training with my friends some sport,I agree.
2020-6-13 下午09:50:43,Female,Spain,Barcelona,5th,"No, I am in the middle of the program",Math and statistics,Same country as university,Primary residence or your family place (if different from your university lodging),5,"YES, but due to other reasons",Worse,Worse,Neutral,Worse,Neutral,Neutral,"Getting fast and reliable internet connection, Using on-line resources (videos, course, blogs) from outside the university, Doing homework together with other students, Taking regularly little breaks/pauses/naps",Much Better,Neutral,Neutral,Neutral,Much Worse,NA,"Having regular video-conference meetings, Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Much Better,Much Worse,Worse,Neutral,Neutral,Better,"Eating well, Going out in the sun, Taking showers or baths, Taking regular breaks/naps",Much Worse,Much Worse,Better,Much Worse,Much Worse,Neutral,"Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Getting clean and dressing well, Doing housekeeping",Neutral,Neutral,Worse,Much Worse,2,5,"Drinking a beer with my friends and talking about/keeping in touch with LGTB+ issues (news, series and gossips)",I agree.
2020-6-14 上午01:57:40,Male,Spain,Barcelona,4th,"Yes, I am  in the last year of my program","Computer Science, computer engineering",Same country as university,Primary residence or your family place (if different from your university lodging),3,"YES, due to COVID-19",Neutral,Worse,Neutral,Neutral,Neutral,Neutral,"Attending class regularly, Doing homework regularly, Doing homework together with other students, Listening to music while working",Worse,Much Worse,Worse,Worse,Better,Worse,"Having regular video-conference meetings, Joining on-line clubs, forums, or dating services, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Much Worse,Worse,Worse,Much Worse,Much Better,Worse,"Eating well, Sleeping well, Physically exercising, Taking regular breaks/naps",Much Worse,Much Worse,Much Worse,Worse,Worse,Much Worse,"Learning something new, Finishing to a lesson or do homework, Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music",Neutral,Worse,Worse,Much Worse,3,4,My GF and my homies,I agree.
2020-6-14 下午10:36:07,Female,France,Paris-Saclay,2nd,"No, I am in the middle of the program","Computer Science, computer engineering",Other,Other,4,"YES, but due to other reasons",Worse,Much Worse,Worse,Worse,Worse,Neutral,"Using on-line resources (videos, course, blogs) from outside the university, Communicating online with other students during classes, Doing homework together with other students, Listening to music while working",Much Worse,Worse,Much Worse,Worse,Much Worse,Neutral,"Checking on friends and family regularly, Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Much Worse,Much Worse,Much Worse,Much Worse,Much Worse,Worse,"Taking your prescription medicines regularly, Going out in the sun, Taking showers or baths, Taking regular breaks/naps",Much Worse,Much Worse,Much Worse,Worse,Worse,Much Worse,"Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Cooking a nice meal, Doing housekeeping",Worse,Neutral,Worse,Neutral,2,5,Going to physical classes,I agree.
2020-6-15 下午06:36:28,Female,France,Paris-Saclay,1st,"No, I am in the middle of the program","Experimental sciences (physics, biology, chemistry)",Same country as university,Primary residence or your family place (if different from your university lodging),3,NO,Better,Worse,Worse,Neutral,Worse,Neutral,"Doing homework regularly, Using on-line resources (videos, course, blogs) from outside the university, Alternating studying and doing physical exercise, Listening to music while working",Much Worse,Worse,Much Worse,Worse,Much Worse,Much Worse,"Having regular video-conference meetings, Taking care of pets or plants, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Neutral,Better,Better,Worse,Better,"Eating well, Sleeping well, Physically exercising, Going out in the sun",Worse,Neutral,Much Worse,Better,Better,Better,"Finishing to a lesson or do homework, Having a body-mind or spiritual practice (yoga, meditation, prayer, etc.), Physically exercising, Watching videos or television, reading, or listening to music",Worse,Better,Worse,Much Worse,2,1,Vivre seule et voir mes amis ,I agree.
2020-6-15 下午06:38:48,Female,France,Paris-Saclay,6th,"Yes, I am in the first year of my program","Experimental sciences (physics, biology, chemistry)",Same country as university,Primary residence or your family place (if different from your university lodging),5,NO,Worse,Worse,Worse,Worse,NA,Much Worse,"Attending class regularly, Getting fast and reliable internet connection, Using on-line resources (videos, course, blogs) from outside the university, Alternating studying and doing physical exercise",Neutral,Worse,Neutral,Neutral,Much Worse,Better,"Having regular video-conference meetings, Checking on friends and family regularly, Physically exercising together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Worse,Better,Much Better,Neutral,Much Better,"Sleeping well, Physically exercising, Going out in the sun, Drinking water regularly",Much Worse,Worse,Worse,Worse,Much Worse,Worse,"Physically exercising, Doing arts and crafts or playing an instrument, Getting clean and dressing well, Doing housekeeping",Much Worse,Better,Worse,Worse,3,5,"Facilities at the office (printer, screen, good chair, desk large enough...)",I agree.
2020-6-15 下午06:41:18,Female,France,Paris-Saclay,8th or more,"Yes, I am  in the last year of my program","Experimental sciences (physics, biology, chemistry)",Same country as university,Primary residence or your family place (if different from your university lodging),5,NO,NA,Worse,Worse,Neutral,NA,Much Worse,"Using on-line resources (videos, course, blogs) from outside the university, Meeting one-on-one with instructors, Alternating studying and doing physical exercise, Listening to music while working",Better,Better,Better,Better,Much Worse,Much Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Worse,Better,Better,Better,Neutral,Better,"Eating well, Physically exercising, Going out in the sun, Taking showers or baths",Much Better,Much Better,Much Better,Worse,Much Better,Worse,"Having a body-mind or spiritual practice (yoga, meditation, prayer, etc.), Physically exercising, Watching videos or television, reading, or listening to music, Cooking a nice meal",Much Worse,Better,Much Better,Neutral,5,5,restaurants,I agree.
2020-6-15 下午06:41:51,Male,France,Paris-Saclay,2nd,"No, I am in the middle of the program","Business, economics, finance, marketing, accounting, entrepreneurship",Same country as university,Primary residence or your family place (if different from your university lodging),3,"YES, due to COVID-19",Much Better,Neutral,Much Better,Worse,Neutral,Much Better,"Doing homework regularly, Using on-line resources (videos, course, blogs) from outside the university, Communicating online with other students during classes, Doing homework together with other students",Much Better,Much Better,Much Better,Much Better,Much Better,Much Better,"Having regular video-conference meetings, Checking on friends and family regularly, Taking care of pets or plants, Playing games with friends or family (potentially remotely)",Neutral,Neutral,Neutral,Worse,Much Worse,Neutral,"Physically exercising, Going out in the sun, Taking showers or baths, Drinking water regularly",Worse,Neutral,Worse,Much Better,Neutral,Much Better,"Learning something new, Finishing to a lesson or do homework, Physically exercising, Cooking a nice meal",Better,Better,Better,Better,4,3,My girlfriend,I agree.
2020-6-15 下午06:42:19,Male,France,Paris-Saclay,1st,"Yes, I am in the first year of my program",Engineering (other that computer related),Same country as university,Primary residence or your family place (if different from your university lodging),4,Prefer not to say,Worse,Much Worse,Much Worse,Much Worse,Neutral,Neutral,"Using on-line resources (videos, course, blogs) from outside the university, Communicating online with other students during classes, Doing homework together with other students, Taking regularly little breaks/pauses/naps",Neutral,Better,Worse,Neutral,Much Worse,Worse,"Checking on friends and family regularly, Taking care of pets or plants, Playing music together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Worse,Worse,Worse,Better,Worse,"Eating well, Sleeping well, Physically exercising, Consuming less alcohol / tobacco / drugs",Worse,Worse,Worse,Worse,Worse,Much Worse,"Learning something new, Finishing to a lesson or do homework, Having a body-mind or spiritual practice (yoga, meditation, prayer, etc.), Watching videos or television, reading, or listening to music",Much Worse,Worse,Worse,Much Worse,2,5,Seeing people,I agree.
2020-6-15 下午06:45:43,Male,France,Paris-Saclay,3rd,"Yes, I am  in the last year of my program","Experimental sciences (physics, biology, chemistry)",Same country as university,University lodging or temporary lodging near the university,4,NO,Much Worse,Worse,Much Worse,Neutral,Much Better,Much Worse,"Getting fast and reliable internet connection, Using on-line resources (videos, course, blogs) from outside the university, Communicating online with other students during classes, Doing homework together with other students",Worse,Neutral,Neutral,Neutral,Much Worse,Much Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Taking care of pets or plants, Playing games with friends or family (potentially remotely)",Much Worse,Worse,Worse,Much Worse,NA,Worse,"Eating well, Sleeping well, Physically exercising, Taking showers or baths",Worse,Worse,Much Worse,Worse,Worse,Worse,"Learning something new, Physically exercising, Watching videos or television, reading, or listening to music, Doing arts and crafts or playing an instrument",Much Better,Worse,Worse,Worse,3,5,Travelling,I agree.
2020-6-15 下午06:46:12,Male,France,Paris-Saclay,2nd,"No, I am in the middle of the program",Engineering (other that computer related),Other,Primary residence or your family place (if different from your university lodging),3,"YES, but due to other reasons",Better,Better,Better,Better,Better,Better,"Attending class regularly, Doing homework together with other students, Listening to music while working, Taking regularly little breaks/pauses/naps",Much Better,Neutral,Much Better,Better,Better,Much Better,"Having regular video-conference meetings, Physically exercising together (potentially remotely), Exchanging affection, or physical care (like massages), or having intimate relationships, Playing music together (potentially remotely)",Much Better,Much Better,Much Better,Much Better,NA,Much Better,"Physically exercising, Taking your prescription medicines regularly, Breathing well, Taking showers or baths",Neutral,Better,Better,Better,Better,Neutral,"Learning something new, Finishing to a lesson or do homework, Having a body-mind or spiritual practice (yoga, meditation, prayer, etc.), Cooking a nice meal",Neutral,Neutral,Neutral,Neutral,4,4,nothing,I agree.
2020-6-15 下午06:46:52,Female,France,Paris-Saclay,1st,"Yes, I am in the first year of my program","Medical, pharma, biomedical, veterinary, dental",Other,University lodging or temporary lodging near the university,5,NO,Neutral,Worse,Neutral,Neutral,Neutral,Neutral,"Communicating online with other students during classes, Doing homework together with other students, Alternating studying and doing physical exercise, Listening to music while working",Worse,Worse,Worse,Worse,Much Worse,Much Worse,"Joining on-line clubs, forums, or dating services, Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Worse,Neutral,Worse,Neutral,Neutral,Worse,"Eating well, Sleeping well, Physically exercising, Drinking water regularly",Worse,Worse,Worse,Neutral,Neutral,Neutral,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Cooking a nice meal",Neutral,Neutral,Worse,Much Worse,3,5,social interaction,I agree.
2020-6-15 下午06:47:18,Female,France,Paris-Saclay,1st,"Yes, I am in the first year of my program","Arts, music, dance, sports",Same country as university,Primary residence or your family place (if different from your university lodging),4,"YES, but due to other reasons",Worse,Worse,Much Worse,Better,Neutral,Neutral,"Communicating online with other students during classes, Alternating studying and doing physical exercise, Listening to music while working, Taking regularly little breaks/pauses/naps",Better,Better,Better,Better,Much Worse,Worse,"Having regular video-conference meetings, Taking care of pets or plants, Cooking and/or eating together (potentially remotely), Taking care of a child or of someone in need (potentially remotely)",Neutral,Neutral,Much Better,Much Better,Much Worse,Much Better,"Sleeping well, Physically exercising, Taking showers or baths, Drinking water regularly",Better,Better,Better,Worse,Neutral,Worse,"Chatting, video-conferencing, or talking with friends or family, Physically exercising, Watching videos or television, reading, or listening to music, Getting clean and dressing well",Worse,Better,Neutral,Worse,4,4,Friends,I agree.
2020-6-15 下午06:47:29,Female,France,Paris-Saclay,1st,"Yes, I am in the first year of my program","Business, economics, finance, marketing, accounting, entrepreneurship",Same country as university,Primary residence or your family place (if different from your university lodging),3,"YES, due to COVID-19",Better,Neutral,Much Better,Neutral,Neutral,Much Better,"Attending class regularly, Doing homework regularly, Using on-line resources (videos, course, blogs) from outside the university, Alternating studying and doing physical exercise",Better,Neutral,Neutral,Neutral,Worse,Better,"Having regular video-conference meetings, Checking on friends and family regularly, Physically exercising together (potentially remotely), Cooking and/or eating together (potentially remotely)",Neutral,Neutral,Neutral,Better,Worse,Worse,"Eating well, Physically exercising, Taking showers or baths, Drinking water regularly",Much Better,Neutral,Worse,Better,Much Better,Neutral,"Finishing to a lesson or do homework, Having a body-mind or spiritual practice (yoga, meditation, prayer, etc.), Physically exercising, Cooking a nice meal",Better,Better,Neutral,Neutral,4,5,"Seeing other peoples (friend, family, boyfriend...)and going out",I agree.
2020-6-15 下午06:48:31,Female,France,Paris-Saclay,1st,"Yes, I am in the first year of my program","Experimental sciences (physics, biology, chemistry)",Same country as university,Primary residence or your family place (if different from your university lodging),3,"YES, due to COVID-19",Better,Worse,Worse,Neutral,Neutral,Neutral,"Attending class regularly, Doing homework regularly, Doing homework together with other students, Alternating studying and doing physical exercise",Worse,Worse,Neutral,Neutral,Worse,Neutral,"Checking on friends and family regularly, Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Worse,Worse,Better,Neutral,Neutral,"Eating well, Sleeping well, Physically exercising, Taking showers or baths",Worse,Worse,Worse,Worse,Worse,Worse,"Learning something new, Having a body-mind or spiritual practice (yoga, meditation, prayer, etc.), Physically exercising, Doing arts and crafts or playing an instrument",Better,Better,Worse,Worse,2,4,Going to uni,I agree.
2020-6-15 下午06:50:25,Female,France,Paris-Saclay,4th,"No, I am in the middle of the program","Experimental sciences (physics, biology, chemistry)",Same country as university,Primary residence or your family place (if different from your university lodging),5,"YES, but due to other reasons",Worse,Much Worse,Much Worse,Worse,Worse,Neutral,"Doing homework regularly, Using on-line resources (videos, course, blogs) from outside the university, Communicating online with other students during classes, Alternating studying and doing physical exercise",Much Better,Worse,Better,Worse,Much Worse,Worse,"Physically exercising together (potentially remotely), Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Much Worse,Much Better,Much Better,Better,Much Better,Neutral,"Eating well, Physically exercising, Going out in the sun, Drinking water regularly",Better,Worse,Much Worse,Better,Worse,Better,"Chatting, video-conferencing, or talking with friends or family, Physically exercising, Getting clean and dressing well, Cooking a nice meal",Worse,Better,Neutral,Worse,3,5,"Restaurants, Rugby (on TV and with my friends)",I agree.
2020-6-15 下午06:53:28,Female,France,Paris-Saclay,3rd,"Yes, I am  in the last year of my program","Experimental sciences (physics, biology, chemistry)",Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Neutral,Neutral,Better,Neutral,Better,Better,"Using on-line resources (videos, course, blogs) from outside the university, Doing homework together with other students, Listening to music while working, Taking regularly little breaks/pauses/naps",Neutral,Neutral,Neutral,Neutral,Worse,Better,"Having regular video-conference meetings, Physically exercising together (potentially remotely), Exchanging affection, or physical care (like massages), or having intimate relationships, Cooking and/or eating together (potentially remotely)",Neutral,Worse,Worse,Much Better,Neutral,Better,"Eating well, Physically exercising, Breathing well, Drinking water regularly",Worse,Neutral,Neutral,Neutral,Worse,Much Worse,"Chatting, video-conferencing, or talking with friends or family, Physically exercising, Getting clean and dressing well, Cooking a nice meal",Better,Better,Neutral,Neutral,3,5,"Go to restaurants, cafes and shops ",I agree.
2020-6-15 下午06:53:30,Male,France,Paris-Saclay,4th,"No, I am in the middle of the program",Math and statistics,Same country as university,Primary residence or your family place (if different from your university lodging),5,NO,NA,Worse,Worse,Neutral,Better,Much Better,"Getting fast and reliable internet connection, Doing homework together with other students, Alternating studying and doing physical exercise, Taking regularly little breaks/pauses/naps",Neutral,Better,Neutral,Worse,Much Worse,Worse,"Physically exercising together (potentially remotely), Cooking and/or eating together (potentially remotely), Playing music together (potentially remotely), Taking care of a child or of someone in need (potentially remotely)",Neutral,Better,Much Better,Better,Better,Much Better,"Eating well, Sleeping well, Physically exercising, Consuming less alcohol / tobacco / drugs",Neutral,Neutral,Neutral,Neutral,Better,Neutral,"Learning something new, Physically exercising, Doing arts and crafts or playing an instrument, Cooking a nice meal",Neutral,Better,Better,Worse,4,5,Team sport (rugby) : playing and watching on TV,I agree.
2020-6-15 下午06:58:44,Male,France,Paris-Saclay,4th,"No, I am in the middle of the program",Math and statistics,Same country as university,Primary residence or your family place (if different from your university lodging),2,NO,Worse,Worse,Neutral,Better,Better,Neutral,"Attending class regularly, Doing homework regularly, Meeting one-on-one with instructors, Alternating studying and doing physical exercise",Better,Worse,Neutral,Worse,Much Worse,Worse,"Checking on friends and family regularly, Physically exercising together (potentially remotely), Exchanging affection, or physical care (like massages), or having intimate relationships, Playing games with friends or family (potentially remotely)",Worse,Neutral,Better,Neutral,Better,Neutral,"Eating well, Sleeping well, Physically exercising, Going out in the sun",Worse,Worse,Better,Neutral,Worse,Worse,"Learning something new, Finishing to a lesson or do homework, Physically exercising, See my girlfriend",Better,Neutral,Worse,Much Worse,1,2,Freedom,I agree.
